"Novel face memory
score out of 72","Famous face memory
score out of 28","Face perception
score out of 60","Celebrity memory
self-rating","Celebrity forgetting
self-report","Pop media use
self-report"
59,27,37.33,4,2,3
58,3,42.67,5,2,3
46,20,32.67,5,2,3
68,27,43.33,5,2,3
69,26,40,4,1,3
64,27,39.33,4,1,3
63,23,42,5,1,3
45,13,35.33,5,3,4
60,19,38.67,3,2,4
41,6,31.33,4,2,4
69,21,36.67,4,2,4
54,23,34.67,4,2,4
56,27,35.33,4,2,4
44,22,34,5,2,4
38,16,22,4,1,4
61,19,35.33,4,1,4
52,24,31.33,4,1,4
56,27,36.67,4,1,4
64,27,35.33,5,1,4
40,4,25.33,3,5,5
42,2,30.67,4,1,1
47,6,26.67,4,5,2
35,1,27.33,2,4,2
47,12,37.33,4,3,2
63,25,44.67,4,2,2
49,11,31.33,4,1,2
50,13,34,3,4,3
52,16,30.67,3,2,3
48,13,34,4,2,3
65,21,43.33,4,2,3
57,21,31.33,5,2,3
57,20,40.67,4,1,3
56,24,32.67,4,1,3
61,25,36.67,4,3,4
65,27,33.33,4,3,4
70,24,39.33,5,2,4
60,27,40,5,2,4
56,26,32,4,1,5
67,20,34.67,5,1,5
52,12,32,4,1,2
48,12,22,3,4,3
63,17,32,3,3,3
58,22,16,4,3,3
65,26,44.67,4,3,3
70,24,38.67,5,3,3
67,27,32,5,1,3
37,6,31.33,4,2,4
61,26,40,5,1,4
47,17,26,4,2,5
63,25,41.33,5,1,5
48,14,36.67,2,2,2
40,8,24.67,3,1,2
70,26,38,5,4,3
45,15,38,5,3,3
54,25,36.67,4,2,3
50,17,32.67,5,1,3
59,8,32.67,4,3,4
61,27,38.67,4,3,4
54,15,16,3,3,5
32,20,32.67,4,1,4
64,14,32.67,4,2,3
43,25,16,5,3,4
31,3,18.67,3,5,1
40,16,27.33,4,3,1
51,19,32,4,1,2
61,16,37.33,4,3,4
46,15,29.33,1,4,1
52,1,32.67,5,4,1
53,20,38,3,3,1
39,1,34,5,3,1
46,6,31.33,2,2,1
62,9,36,2,2,1
49,3,36,3,2,1
59,17,35.33,4,2,1
65,19,41.33,4,2,1
60,9,38,3,1,1
65,17,42,3,1,1
39,8,27.33,2,5,2
40,2,33.33,3,5,2
41,0,34,3,4,2
48,6,26.67,3,4,2
47,18,32,3,4,2
31,4,36.67,3,3,2
48,8,28.67,3,3,2
49,14,28.67,3,3,2
58,22,32.67,3,3,2
67,25,40,3,3,2
63,12,38,4,3,2
57,12,39.33,4,3,2
60,15,42,4,3,2
47,16,38.67,4,3,2
52,1,28,3,2,2
43,12,28,3,2,2
52,20,37.33,3,2,2
50,23,39.33,5,1,2
49,19,36.67,3,4,3
61,8,34,4,4,3
50,5,38.67,3,3,3
63,18,39.33,3,3,3
57,13,36.67,4,3,3
41,3,36.67,2,2,3
56,15,32.67,3,2,3
66,16,40.67,3,2,3
44,20,26,3,2,3
52,20,36,3,2,3
57,21,30,3,2,3
58,14,44,4,2,3
48,17,42.67,4,2,3
54,18,37.33,4,2,3
65,19,36.67,4,2,3
65,19,43.33,4,2,3
70,24,36.67,4,2,3
64,24,39.33,4,2,3
68,25,36.67,4,2,3
55,26,32.67,5,2,3
58,24,40,3,1,3
64,15,34,4,1,3
71,21,38.67,4,1,3
70,22,42,4,1,3
64,23,28,4,1,3
54,18,31.33,4,4,4
44,19,33.33,4,4,4
57,24,38.67,4,4,4
38,6,29.33,5,3,4
59,17,39.33,5,3,4
71,23,35.33,3,2,4
37,12,41.33,4,2,4
58,20,38,5,2,4
54,18,30,3,1,4
51,18,37.33,3,1,4
55,21,36.67,3,1,4
69,24,37.33,4,1,4
57,27,37.33,5,1,4
58,3,38.67,3,2,5
54,24,30.67,3,1,5
52,7,32,4,1,5
42,2,28.67,2,3,1
50,14,31.33,3,3,1
57,14,36.67,3,2,1
39,16,25.33,3,2,1
57,14,36,4,1,1
34,5,24,3,3,2
49,9,27.33,3,3,2
57,19,37.33,4,2,2
44,20,37.33,3,1,2
60,25,40.67,3,1,2
52,16,0,3,3,3
50,19,36,3,3,3
59,13,38.67,4,3,3
54,14,36,5,3,3
53,26,40.67,5,3,3
62,13,30,3,2,3
58,18,36.67,3,2,3
49,23,33.33,3,2,3
56,10,32,4,2,3
